"","community","year","total_pop","mean_college","mean_hs","mean_assoc","mean_white","mean_black","mean_asian","mean_hispanic","mean_employed","mean_unemployed","mean_male","mean_female","median_age","median_income"
"13","ALBANY PARK",2022,47663,17.9851794890909,13.7486475112727,4.27764147109091,42.9767193218182,4.882493603,15.2405493624545,44.6557976036364,55.9352744227273,3.74036672318182,50.8591724745455,48.0543980618182,35.8,73571
"14","ARCHER HEIGHTS",2010,13434,4.2028242928,18.842658578,3.6348822354,67.05294817,1.729939231,1.723801152,74.804096278,42.932408908,7.8461959376,49.498373104,50.501626896,30.9,43839
"15","ARCHER HEIGHTS",2011,13434,4.2028242928,18.842658578,3.6348822354,67.05294817,1.729939231,1.723801152,74.804096278,42.932408908,7.8461959376,49.498373104,50.501626896,30.9,43839
"16","ARCHER HEIGHTS",2012,13434,4.2028242928,18.842658578,3.6348822354,67.05294817,1.729939231,1.723801152,74.804096278,42.932408908,7.8461959376,49.498373104,50.501626896,30.9,43839
"17","ARCHER HEIGHTS",2013,14132,4.457246745,20.581084178,3.9124159128,68.555660716,1.8273284796,1.794970078,75.946902262,43.140850396,8.638992319,48.763091312,51.236908688,30.9,42917
"18","ARCHER HEIGHTS",2014,13998,4.6858354194,19.921134898,4.1657634736,64.635797382,0.9636578522,3.0639312104,75.487837942,44.572157126,7.4067294594,50.141459442,49.858540558,31.8,43477
"19","ARCHER HEIGHTS",2015,13293,5.1346497364,21.158564134,3.7166422046,61.189096948,1.1484145098,3.9515244048,74.789681044,45.338907702,6.5511728786,47.890620744,52.109379256,33.4,43393
"20","ARCHER HEIGHTS",2016,13259,5.292910757,20.255120244,2.6079812458,55.287933248,0.5505130932,4.5456328974,75.423279244,47.152522584,5.1036352424,47.790666878,52.209333122,32.1,44706
"21","ARCHER HEIGHTS",2017,13169,5.9235508438,21.19740151,2.7391668656,55.315079474,0.9609092746,5.6050603988,76.162772054,46.565310546,4.5951152092,49.297996796,50.702003204,33.1,47500
"22","ARCHER HEIGHTS",2018,13082,6.7660788212,20.05320622,2.5719814908,55.346995808,0.9972425906,5.8773499664,76.410226294,45.854601276,4.1448973574,49.746657104,50.253342896,33.1,43571
"23","ARCHER HEIGHTS",2019,13726,6.5655960964,20.805445872,2.7637481406,58.678976442,1.0094550608,6.3383617544,77.323849978,44.230230918,3.9941184962,50.654703682,49.345296318,32,48629
"24","ARCHER HEIGHTS",2020,13533,5.828211256,23.233314736,2.823838056,57.95977696,0.7233118086,4.6780174872,79.810894816,46.463805568,4.1818678176,53.847022908,46.152977092,32.6,47198
"25","ARCHER HEIGHTS",2021,13591,5.6237297988,24.598667192,3.3616434112,53.112902444,0.604052219,6.5677648984,78.181883084,44.63747668,5.4375711358,54.308098208,45.691901792,32.6,54346.5
"26","ARCHER HEIGHTS",2022,13867,5.3024979466,24.342177428,3.2991797598,43.974748346,0.1252474332,5.6171571782,79.219247378,43.416185968,5.8064279202,51.91682789,48.08317211,33.8,63668.5
"27","ARMOUR SQUARE",2010,13710,8.1288448304,21.267064188,2.888731229,16.9878221894,23.6472596284,50.868600124,7.047281216,40.130584778,9.0042947164,47.238018066,52.761981934,42.5,22000
"28","ARMOUR SQUARE",2011,13710,8.1288448304,21.267064188,2.888731229,16.9878221894,23.6472596284,50.868600124,7.047281216,40.130584778,9.0042947164,47.238018066,52.761981934,42.5,22000
"29","ARMOUR SQUARE",2012,13710,8.1288448304,21.267064188,2.888731229,16.9878221894,23.6472596284,50.868600124,7.047281216,40.130584778,9.0042947164,47.238018066,52.761981934,42.5,22000
"30","ARMOUR SQUARE",2013,14120,8.7670355088,21.617915698,2.8075759144,17.9387422172,23.3413238086,52.370046446,5.814517772,40.396410744,9.0707367196,48.503013108,51.496986892,41.8,27917
"31","ARMOUR SQUARE",2014,13850,8.3289148988,19.4915168804,2.9955695034,19.4315831522,22.3562984028,52.925736802,6.0622894756,38.65343911,9.1300850446,48.674861158,51.325138842,41.6,26364
"32","ARMOUR SQUARE",2015,14007,9.1346536622,19.31427476,2.9377117142,18.9556231444,21.6655588072,55.784238842,4.3266350346,38.762042386,9.4415274244,49.768111156,50.231888844,42,25098
"33","ARMOUR SQUARE",2016,13635,8.8065031506,20.065393014,2.9426526258,18.4533603188,21.7014083684,57.201125018,3.6434573448,39.115084756,8.2175138236,49.78778947,50.21221053,41.7,27185
"34","ARMOUR SQUARE",2017,13396,9.1334444378,20.207714778,2.5320512504,19.0798965652,20.9592651264,56.402246012,4.3897977808,39.230313528,7.1768526552,49.071648682,50.928351318,45.1,26905
"35","ARMOUR SQUARE",2018,13719,9.4140129812,19.918216644,2.4109435252,18.1111275342,21.1755791222,57.102534872,5.0269598086,38.590499792,6.886227656,47.28912596,52.71087404,47,26220
"36","ARMOUR SQUARE",2019,13538,10.7776406512,17.760703498,3.6725980264,18.0792845744,21.1388143108,57.488419414,5.477022474,40.256886056,5.5167471016,46.641318794,53.358681206,45.9,33333
"37","ARMOUR SQUARE",2020,13401,9.9933852582,18.160100892,3.8716419158,20.4744554912,20.3590214928,55.264417502,7.0998938146,39.927962128,5.4610638716,44.483685344,55.516314656,41.9,36250
"38","ARMOUR SQUARE",2021,13284,11.0916691598,15.222675314,4.5487582066,24.6769753754,18.194554841,52.4781156956,8.154804403,39.042728006,4.6641477066,45.22393465,54.77606535,45.6,35761
"39","ARMOUR SQUARE",2022,13193,11.4998376212,16.785757912,4.784498351,24.3866901686,19.8633483572,49.9725909678,5.8229167732,41.074719664,4.8713129186,47.22260909,52.77739091,40.8,48542
"40","ASHBURN",2010,42788,8.000938167,16.0138705425,5.0665022475,27.46742194675,53.36966128875,0.220929180875,29.401192687375,43.81758876625,5.753519993125,49.117191655,50.1450692625,33.95,68109
"41","ASHBURN",2011,42788,8.000938167,16.0138705425,5.0665022475,27.46742194675,53.36966128875,0.220929180875,29.401192687375,43.81758876625,5.753519993125,49.117191655,50.1450692625,33.95,68109
"42","ASHBURN",2012,42788,8.000938167,16.0138705425,5.0665022475,27.46742194675,53.36966128875,0.220929180875,29.401192687375,43.81758876625,5.753519993125,49.117191655,50.1450692625,33.95,68109
"43","ASHBURN",2013,42821,8.003161743875,16.24266063,4.65125776425,26.56027857925,52.47371367,0.322760361875,31.802976742625,44.720692395,6.519985223875,48.88013486875,50.0772957025,33.6,69758
"44","ASHBURN",2014,42809,8.94814258275,16.12927581625,5.4141847815,26.91976933125,51.4659281175,0.464018823,33.774598168625,44.5661181425,6.7372992485,47.3141046925,51.438621235,35.05,66308.5
"45","ASHBURN",2015,42752,8.3310270875,15.5358031725,4.631955942,26.059526122625,52.045280685,0.610584011,33.813651314125,44.7149752375,7.09890983425,47.85033355375,50.7844945125,35.1,62312.5
"46","ASHBURN",2016,43283,8.229501457375,16.089387538375,5.218369522125,25.35672365075,51.14730326125,0.658612271125,35.617903646375,45.48525360375,6.68035594825,48.052613015,50.70721618,35.2,67109.5
"47","ASHBURN",2017,43792,8.4382575755,16.264717045,6.1106796205,24.78450244425,50.9654540225,0.645280900625,36.365247979375,44.15034175,6.964918266625,47.5921865675,51.17507725375,35.25,64447
"48","ASHBURN",2018,43986,8.109017363875,16.55140451,6.3873730055,25.46034008275,51.28231967875,0.716477490125,36.669182740875,44.87436625,6.143195139875,46.92800612875,51.78775388,34.45,68003
"49","ASHBURN",2019,43356,8.270167306,15.239789355,6.654057037,27.685841553125,49.48582707125,0.82634932475,38.65470338475,45.30025037,5.826645771125,46.7500448525,51.9541787125,34.7,69261
"50","ASHBURN",2020,42902,8.150883917625,16.32990893,6.3122594805,28.10398591225,48.55242299475,0.757638694125,40.196851376875,44.50757874875,5.265005669,48.0550297175,50.68662571375,35.1,73333.5
"51","ASHBURN",2021,44215,7.7346832945,16.51168313875,5.23991751475,26.80157126,47.22322354375,0.86010199975,43.022107673875,43.19562389,5.691680718,48.2353987175,50.576383425,35.15,71451.5
"52","ASHBURN",2022,42745,7.769286390125,17.3278532325,5.122171505625,24.95198519475,46.096842333875,0.844756200375,43.34551862025,45.20576629,4.792676825875,48.16214291875,50.51815463625,35.4,80580.5
"53","AUBURN GRESHAM",2010,49634,5.12303974193333,17.6737497933333,4.8699633746,0.681733061466667,98.1736030433333,0.175895211066667,1.35493621613333,30.11916103,12.6598739571333,42.7747256033333,57.1622939393333,37.4,27679
"54","AUBURN GRESHAM",2011,49634,5.12303974193333,17.6737497933333,4.8699633746,0.681733061466667,98.1736030433333,0.175895211066667,1.35493621613333,30.11916103,12.6598739571333,42.7747256033333,57.1622939393333,37.4,27679
"55","AUBURN GRESHAM",2012,49634,5.12303974193333,17.6737497933333,4.8699633746,0.681733061466667,98.1736030433333,0.175895211066667,1.35493621613333,30.11916103,12.6598739571333,42.7747256033333,57.1622939393333,37.4,27679
"56","AUBURN GRESHAM",2013,48934,5.2819575858,19.2893845846667,4.7854915146,0.660974510733333,97.7490504626667,0.2427569286,1.6252034648,30.4556523766667,12.6372806035333,43.64737537,56.3004157946667,39.6,30078
"57","AUBURN GRESHAM",2014,47611,5.13117420313333,19.2782103973333,4.8640204246,0.632903815333333,97.7232167433333,0.240373346933333,1.5571417596,29.990757384,12.714177533,43.457912982,56.4372590506667,40.5,28952
"58","AUBURN GRESHAM",2015,45842,5.381356107,19.2767915646667,4.8378282484,1.05525440686667,97.2687005533333,0.229433679533333,1.67216152846667,31.880564648,11.9273548826667,43.7526398866667,56.1475661166667,39.8,29500
"59","AUBURN GRESHAM",2016,45770,5.73167916106667,19.2098284693333,4.63074623453333,0.938751371733333,97.1574679626667,0.316631505533333,1.35495710753333,33.3613507586667,11.2650689528,45.406133054,54.5851669713333,41.2,31330
"60","AUBURN GRESHAM",2017,46278,6.20864929746667,18.1196287866667,4.81171059006667,1.48025186026667,96.2135889253333,0.273980517866667,2.15159534673333,34.2344591906667,10.1035116258667,45.4394427806667,54.5507856306667,41.3,33281
"61","AUBURN GRESHAM",2018,45271,6.14202751293333,18.4373793253333,5.5574235064,1.76344247666667,95.962069546,0.2131097164,2.39198035973333,35.3145481126667,8.74070966413333,45.824729766,54.168015972,39.3,35086
"62","AUBURN GRESHAM",2019,45909,6.09900212573333,18.260998364,6.15913383913333,2.3795307908,95.4265436013333,0.380800592,2.59175213173333,36.4239771706667,7.4143704578,47.1802451586667,52.8197548413333,39.6,35568
"63","AUBURN GRESHAM",2020,46698,7.06974034546667,18.7418448033333,5.8801624772,1.8942051832,94.93488785,0.3068014444,2.93129616066667,36.5853921106667,7.0404481428,47.118918104,52.881081896,40.3,41121
"64","AUBURN GRESHAM",2021,48039,6.69352113846667,19.3043913906667,5.60145550073333,1.59190970833333,94.804750066,0.4142641004,3.46986356486667,35.877085998,8.78851893586667,46.30325938,53.69674062,38.6,38462
"65","AUBURN GRESHAM",2022,46468,6.82156930806667,19.235149818,5.7019700674,1.63970203093333,93.497119428,1.08739345826667,3.3861967134,36.7315016833333,8.525042676,45.7321834646667,54.2678165353333,39.1,45663
"66","AUSTIN",2010,98162,4.44067714429167,19.8109567108333,3.87058920616667,7.82568355645833,86.2196205654167,0.361913288416667,10.1149045990417,33.7888168975,9.63459621791667,45.7366222025,53.2513190425,33.75,29661
"67","AUSTIN",2011,98162,4.44067714429167,19.8109567108333,3.87058920616667,7.82568355645833,86.2196205654167,0.361913288416667,10.1149045990417,33.7888168975,9.63459621791667,45.7366222025,53.2513190425,33.75,29661
"68","AUSTIN",2012,98162,4.44067714429167,19.8109567108333,3.87058920616667,7.82568355645833,86.2196205654167,0.361913288416667,10.1149045990417,33.7888168975,9.63459621791667,45.7366222025,53.2513190425,33.75,29661
"69","AUSTIN",2013,97997,4.59001371404167,20.3728639945833,3.77727653725,6.778398270875,85.03168368625,0.41365388825,11.0973056544583,32.3022130879167,9.35877411554167,45.8029447891667,53.13970979125,34.65,31128.5
"70","AUSTIN",2014,99711,4.38655803220833,19.5364691354167,3.90278515133333,7.22345427329167,84.0110013916667,0.437824639708333,12.4694795780833,31.986267945,9.02391295020833,45.4807312408333,53.49328259625,34,29790.5
"71","AUSTIN",2015,97643,4.755019086625,21.23734543125,4.06266938858333,7.76136276929167,82.67297131875,0.4680394475,13.296593577375,33.8410481704167,8.16350500741667,45.5469319683333,53.4439275629167,35.45,31055.5
"72","AUSTIN",2016,97611,5.15373285029167,21.6530522029167,4.35125945358333,7.447159123625,81.31394501375,0.433159720083333,14.615715388375,34.5781234704167,7.61451830333333,46.2085347220833,52.7387990479167,35.95,31094.5
"73","AUSTIN",2017,95260,5.66126669533333,20.5624184620833,4.61836884041667,7.614828921125,80.4729563383333,0.405221792916667,15.0311283376667,35.9671887616667,6.775918362875,45.1776925933333,53.8018587716667,35.25,32370
"74","AUSTIN",2018,94762,5.62936348445833,20.8548160216667,4.6687053325,9.005796286875,79.3729365554167,0.493614244791667,15.9174173644583,38.1896742354167,5.956974492375,45.8968212408333,53.0639997616667,35.45,32978
"75","AUSTIN",2019,93727,6.49334746616667,21.5435076416667,4.84728644333333,10.7016160387083,78.5841850045833,0.495737821083333,16.0996712753333,39.5792712225,5.53838524079167,45.8867789108333,53.0078319641667,36.65,33700.5
"76","AUSTIN",2020,95073,5.95409307079167,21.6573539475,5.12168759716667,10.5192582717917,76.851946675,0.420018133041667,17.7140441906667,39.0792348504167,5.87136498875,46.4146080983333,52.4542588566667,37.25,36563.5
"77","AUSTIN",2021,97313,6.035011783625,20.7562064334583,5.33870958416667,9.78202781716667,74.8905478916667,0.611803288625,19.5514558212917,38.8096721520833,6.05485115879167,46.1350629670833,52.8223794795833,37.4,39702
"78","AUSTIN",2022,100120,5.286110699625,21.5129153191667,5.09418051866667,9.963650076375,72.6565739491667,0.738173612875,21.3189134007917,37.79127175,6.348525217875,47.6917492504167,51.3791164845833,37.6,42155.5
"79","AVALON PARK",2010,9617,10.606225432,15.688642385,5.7713248885,2.0286813375,96.69442361,0.286195286,0.389162681,39.428351135,10.832266553,45.15754041,54.84245959,42.95,42952.5
"80","AVALON PARK",2011,9617,10.606225432,15.688642385,5.7713248885,2.0286813375,96.69442361,0.286195286,0.389162681,39.428351135,10.832266553,45.15754041,54.84245959,42.95,42952.5
"81","AVALON PARK",2012,9617,10.606225432,15.688642385,5.7713248885,2.0286813375,96.69442361,0.286195286,0.389162681,39.428351135,10.832266553,45.15754041,54.84245959,42.95,42952.5
"82","AVALON PARK",2013,9951,10.590950334,14.96350314,5.801692455,2.4304759815,96.590323015,0.339063239,0.478799319,39.022111735,11.157779845,45.97051419,54.02948581,42.5,44608.5
"83","AVALON PARK",2014,10098,10.665652087,13.979917445,5.4006381985,3.0463352425,96.050981315,0.235036039,0.546549448,37.322154375,11.237450829,46.99079657,53.00920343,42.45,44259
"84","AVALON PARK",2015,9813,10.4543335025,14.001519375,5.553590842,0.726452906,97.94002384,0.4926519705,0.517702071,35.42889701,10.6549962655,43.26479102,56.73520898,44.95,40725.5
"85","AVALON PARK",2016,9840,10.747623825,13.55078073,4.996415341,0.7788384845,97.974324535,0.1556611505,0.557103064,33.650887665,11.062865986,42.215385945,57.784614055,44.65,37207.5
"86","AVALON PARK",2017,10034,11.20863374,15.51126532,4.3047172725,0.971087822,97.50207711,0.2976190475,0.516917293,35.80924915,7.735812133,42.847542655,57.152457345,44.35,39648
"87","AVALON PARK",2018,9785,11.516903305,16.118693065,4.172888091,0.96108457,96.388504815,0.6662225185,0.4580279815,37.1067948,7.191060231,43.8828051,56.1171949,45.75,43549.5
"88","AVALON PARK",2019,9713,11.1637976205,17.785837605,3.9918533695,1.0040701795,96.5595023,0.585284281,0.075250836,39.38467317,6.565711045,42.764062185,57.235937815,45.65,46206.5
"89","AVALON PARK",2020,9629,11.7591013845,19.93274097,3.636206206,0.9104146685,94.48603153,1.02478551,0,41.545497505,7.053015437,43.771395995,56.228604005,46.2,54386
"90","AVALON PARK",2021,9782,11.981425229,20.007403695,3.964630503,0.551661347,93.83101075,1.020101988,0.3337472835,44.40920085,6.8321336215,42.462117055,57.537882945,46.05,51587
"91","AVALON PARK",2022,9647,11.1696140635,18.98594453,3.65502935,0.3709689035,94.335388195,0.584374051,0.3960556095,41.77304579,5.535472023,42.4296533,57.5703467,45.05,52481.5
"92","AVONDALE",2010,41542,9.6722602599,19.050077157,3.1731907162,73.363405794,3.2110726058,2.978117297,65.783814797,51.695366281,5.3638859606,52.39906311,47.550352003,31.45,46978.5
"93","AVONDALE",2011,41542,9.6722602599,19.050077157,3.1731907162,73.363405794,3.2110726058,2.978117297,65.783814797,51.695366281,5.3638859606,52.39906311,47.550352003,31.45,46978.5
"94","AVONDALE",2012,41542,9.6722602599,19.050077157,3.1731907162,73.363405794,3.2110726058,2.978117297,65.783814797,51.695366281,5.3638859606,52.39906311,47.550352003,31.45,46978.5
"95","AVONDALE",2013,40262,10.3893497658,19.461420032,2.6554315556,80.459600006,2.5764136878,3.3899112253,63.462609146,50.296034531,5.3210440577,51.915236303,48.001402576,31.1,42687.5
"96","AVONDALE",2014,39117,11.0684018512,17.810189609,2.5874320908,83.36226325,2.63820748,3.3316917994,59.883296068,50.849998113,4.6951502109,50.936426083,48.951681334,31.55,45491
"97","AVONDALE",2015,39721,11.6945916072,16.272596871,3.0281447617,83.267286879,2.4574783663,3.277273202,61.323253497,50.62544192,4.4739301061,50.811817756,49.039651408,31.55,44228.5
"98","AVONDALE",2016,38191,13.4383633108,15.064384817,3.1891755297,82.009654955,2.3673403206,3.4401539142,60.50763649,52.742163242,3.6237813954,51.885601982,47.942884222,32.6,48118
"99","AVONDALE",2017,37368,15.7570210048,14.218780217,3.7143431961,81.473343022,2.5765848105,3.829904135,56.896984971,54.606075335,2.9862054079,51.69897592,48.128362209,33.05,54694
"100","AVONDALE",2018,37909,16.76193562,13.657790173,3.8755172857,77.402972951,2.4584333906,3.5185804349,56.023862381,56.347008556,2.7481387203,51.092900011,48.731722928,32.85,61242
"101","AVONDALE",2019,38118,18.156164206,13.6320336864,4.408506025,73.559771088,2.7549042518,3.9431450883,56.329044667,58.541339005,2.6599854341,50.981220034,48.817229579,32.8,64584
"102","AVONDALE",2020,37360,18.759848064,14.0571031404,4.8691569171,64.598191097,2.4726879538,4.3592027723,54.013046637,59.382759108,3.4769139724,49.48781601,50.295255024,33.1,75020
"103","AVONDALE",2021,36820,19.7975252773,13.859377214,4.9203183496,58.585267288,2.5813109449,4.9265912849,51.902016542,60.428032423,3.6745836815,48.97235132,50.778186315,33.65,81493.5
"104","AVONDALE",2022,36374,21.0795733095,13.941656085,4.929602853,53.06079017,2.5929599719,4.9634999541,51.208041229,62.422840379,4.3450774057,49.182883402,50.465062926,33.25,94932.5
"105","BELMONT CRAGIN",2010,77885,4.52137218958824,15.9293695531176,3.41999697217647,41.0353176388235,5.34701157358824,1.37804602952941,77.0144331970588,43.0241428523529,7.25517900529412,49.2317709811765,50.4804473064706,32,41875
"106","BELMONT CRAGIN",2011,77885,4.52137218958824,15.9293695531176,3.41999697217647,41.0353176388235,5.34701157358824,1.37804602952941,77.0144331970588,43.0241428523529,7.25517900529412,49.2317709811765,50.4804473064706,32,41875
"107","BELMONT CRAGIN",2012,77885,4.52137218958824,15.9293695531176,3.41999697217647,41.0353176388235,5.34701157358824,1.37804602952941,77.0144331970588,43.0241428523529,7.25517900529412,49.2317709811765,50.4804473064706,32,41875
"108","BELMONT CRAGIN",2013,78279,4.76012048676471,15.3761764073529,3.13107855429412,40.9997841335294,4.60089794182353,1.248508896,78.3677639794118,43.1610318329412,8.04203597947059,49.7064123017647,50.0150520652941,31.2,42019
"109","BELMONT CRAGIN",2014,79069,4.69987043447059,15.7936650010588,3.09127776376471,43.3201758041176,3.970183299,1.817741278,78.6614735582353,43.4610796770588,7.10906118264706,48.9752107352941,50.7292334970588,31.9,41563
"110","BELMONT CRAGIN",2015,79210,5.24583953217647,15.7084164923529,3.50018138688235,45.9473453652941,3.58649774776471,1.58815017929412,79.6219096352941,45.1635045523529,6.32323076429412,48.4317360447059,51.2790677458824,33.4,42138
"111","BELMONT CRAGIN",2016,78155,5.69426565411765,15.9512788645294,3.40000072111765,46.7655716347059,3.28860179458824,1.86585809117647,80.0281628982353,46.6309623523529,5.46272066411765,49.0678733076471,50.6505307147059,33,44750
"112","BELMONT CRAGIN",2017,79956,5.71159370364706,16.4812187610588,3.45746661070588,50.4765614358824,3.15671981194118,2.28583540452941,80.7398494452941,46.6384489029412,4.59562170335294,49.4727341458824,50.2537403723529,33.7,46010
"113","BELMONT CRAGIN",2018,80701,5.87345184447059,17.4680676158824,3.65681958164706,55.8467104952941,3.02804885170588,2.08586185111765,82.056704777647,47.6543446005882,3.57718379205882,49.4930273111765,50.2130117641176,34.5,50666
"114","BELMONT CRAGIN",2019,78601,6.08053087988235,17.3647344052941,3.69436620652941,57.4846969370588,3.37662369870588,2.15176343411765,81.3922821247059,48.4315498370588,3.16835632623529,49.6831755188235,50.0217308435294,35.2,53021
"115","BELMONT CRAGIN",2020,78788,5.97174240847059,16.2937030405882,3.83459697870588,52.9483587911765,3.710508385,2.41330530164706,80.13791924,48.6471632511765,2.52597764388235,49.7179282664706,50.0034787347059,35.5,58750
"116","BELMONT CRAGIN",2021,78610,6.52910827088235,16.0965279434706,4.072722437,47.8648864035294,3.93471110941176,2.69365372176471,78.481281812353,47.9571999688235,2.80322646023529,49.1455913641176,50.6064405958824,34.7,59000
"117","BELMONT CRAGIN",2022,73991,7.09012321117647,16.2857119917647,4.40592751858824,38.2780333323529,4.53132874611765,2.55115714935294,78.16389657,48.2774845441176,2.39486905617647,49.5376680858824,50.2261481358824,35.1,61308
"118","BEVERLY",2010,21226,19.5803432428571,7.50943229314286,4.17066259314286,68.4557940914286,29.4731144402857,0.277204555571429,4.68180411128571,47.6264344185714,3.92094474057143,48.15105686,51.84894314,40.2,94440
"119","BEVERLY",2011,21226,19.5803432428571,7.50943229314286,4.17066259314286,68.4557940914286,29.4731144402857,0.277204555571429,4.68180411128571,47.6264344185714,3.92094474057143,48.15105686,51.84894314,40.2,94440
"120","BEVERLY",2012,21226,19.5803432428571,7.50943229314286,4.17066259314286,68.4557940914286,29.4731144402857,0.277204555571429,4.68180411128571,47.6264344185714,3.92094474057143,48.15105686,51.84894314,40.2,94440
"121","BEVERLY",2013,21762,20.1824049942857,8.84904743228571,3.86861674342857,66.8510075828571,30.2314242641429,0.209934599428571,5.45124468314286,48.10296844,3.93492178257143,48.5038970485714,51.4961029514286,42.1,96087
"122","BEVERLY",2014,21002,19.9295623614286,8.19008776214286,4.44462466357143,66.6747593957143,30.1576009234286,0.402765932714286,5.18298733214286,49.6789392985714,3.82563071442857,48.4687057471429,51.5312942528571,42.5,99118
"123","BEVERLY",2015,20815,19.89565634,9.07401150242857,4.37434542671429,66.6683180242857,29.276760899,0.461155857,6.23509108314286,49.3641644142857,3.641173767,48.4687606685714,51.5312393314286,42.9,100357
"124","BEVERLY",2016,20836,19.45981424,8.91239884057143,5.11714855371429,67.2327015871429,28.7957957744286,0.406681370857143,5.39012215257143,49.24269544,3.30766751414286,49.09659711,50.90340289,42.8,100375
"125","BEVERLY",2017,20822,19.9938999785714,9.18247439585714,5.50756805285714,66.4527981257143,29.1746264564286,0.724038373714286,5.14425877128571,49.0020801171429,3.19580765971429,48.7778237357143,51.2221762642857,43.2,109390
"126","BEVERLY",2018,20437,20.16347045,8.27904356585714,5.93592007385714,64.9998276,30.9742279935714,0.861059355,5.18762720557143,50.2179137042857,2.29534016957143,47.6247007728571,52.3752992271429,44.5,110344
"127","BEVERLY",2019,19791,21.06390305,8.69385321428571,5.81134172328571,65.7385353685714,30.3043417192857,0.754823252857143,4.928587597,50.21999012,2.26218983371429,47.3279752414286,52.6720247585714,44.5,111667
"128","BEVERLY",2020,19817,22.1807298657143,7.579190983,6.23547968185714,63.3416889514286,29.3927108878571,0.869744729571429,5.94135548771429,50.0953999671429,2.93423627971429,46.7983075257143,53.2016924742857,40.5,112500
"129","BEVERLY",2021,19919,22.2107953357143,7.45464678785714,5.61315829328571,61.8890749828571,29.253976212,1.215229127,7.38118665442857,50.1099146642857,3.72045950242857,47.0057108042857,52.9942891957143,45.3,107727
"130","BEVERLY",2022,19781,21.6748235085714,6.75298353928571,5.61971291685714,62.1689221085714,29.0738744842857,0.825818788428571,7.116769152,49.4989225171429,3.63308478614286,47.3290407271429,52.6709592728571,42.5,118836
"131","BRIDGEPORT",2010,32430,8.6389214981,19.754939017,4.0253339797,46.68251605,1.9605602442,34.555766564,27.486537104,49.970703362,7.7250028478,49.814963982,50.166910694,35.1,40826
"132","BRIDGEPORT",2011,32430,8.6389214981,19.754939017,4.0253339797,46.68251605,1.9605602442,34.555766564,27.486537104,49.970703362,7.7250028478,49.814963982,50.166910694,35.1,40826
"133","BRIDGEPORT",2012,32430,8.6389214981,19.754939017,4.0253339797,46.68251605,1.9605602442,34.555766564,27.486537104,49.970703362,7.7250028478,49.814963982,50.166910694,35.1,40826
