"","community","year","total_pop","mean_college","mean_hs","mean_assoc","mean_white","mean_black","mean_asian","mean_hispanic","mean_employed","mean_unemployed","mean_male","mean_female","median_age","median_income"
"1","ALBANY PARK",2010,53897,10.4187590015455,11.4552561503636,2.82975510563636,41.3369908654545,4.44204213454545,12.1265529958182,54.1172717927273,51.1983930554545,5.56870718290909,52.0741085090909,47.2775900127273,31.8,45972
"2","ALBANY PARK",2011,53897,10.4187590015455,11.4552561503636,2.82975510563636,41.3369908654545,4.44204213454545,12.1265529958182,54.1172717927273,51.1983930554545,5.56870718290909,52.0741085090909,47.2775900127273,31.8,45972
"3","ALBANY PARK",2012,53897,10.4187590015455,11.4552561503636,2.82975510563636,41.3369908654545,4.44204213454545,12.1265529958182,54.1172717927273,51.1983930554545,5.56870718290909,52.0741085090909,47.2775900127273,31.8,45972
"4","ALBANY PARK",2013,54018,11.3627026210909,12.0394430894545,3.25747454272727,47.7460004190909,4.37381007254545,13.2971157544545,53.68819826,50.7268258609091,6.23084396981818,51.6865655281818,47.5732056818182,33.2,48404
"5","ALBANY PARK",2014,52930,11.7587918417273,13.1671277495455,3.44140835372727,50.8773986381818,3.85309553418182,14.3441460881818,52.8037249209091,51.2157577472727,5.47577202245455,51.9030609963636,47.2276589727273,34.2,53226
"6","ALBANY PARK",2015,52079,12.0451633138182,13.9716117772727,3.70921858127273,53.1655413190909,4.39575305527273,16.4396666513636,49.7008204018182,51.1300722227273,5.14905927990909,51.2007947327273,47.7196915227273,32.6,47898
"7","ALBANY PARK",2016,51575,13.9119560869091,13.5591474305455,3.94626974636364,56.4797555845455,5.07077373072727,16.4232086364545,49.7812085354545,52.08479416,4.49495230209091,50.2159451327273,48.6452587463636,32.6,52074
"8","ALBANY PARK",2017,51992,14.1114927359091,13.7214935833636,3.428987514,58.4244889990909,5.28825566190909,15.4216174251818,49.4910933454545,51.0930878272727,4.01051371390909,49.8749912318182,49.0019745081818,33,56278
"9","ALBANY PARK",2018,50343,14.9988153245455,13.7897858217273,3.69595654381818,55.3694757290909,5.70466940745455,15.3036235186364,46.5209614854545,51.4161510136364,3.27214634554545,50.0685035881818,48.8240952336364,33.8,58824
"10","ALBANY PARK",2019,49806,16.1288015918182,13.8927943175455,3.90570453463636,55.6047632172727,6.08338611727273,16.0731547198182,45.2476181072727,52.0587084072727,3.14799469590909,49.9401744854545,48.9859284872727,34,66818
"11","ALBANY PARK",2020,49280,17.8894082490909,13.591231638,3.831832307,50.2779514454545,6.31508231909091,13.5446343142727,46.3626352927273,53.6929164063636,3.84109458809091,50.3217604290909,48.6253339690909,35,71875
"12","ALBANY PARK",2021,48647,17.7359112247273,13.4938262976364,3.92482224163636,46.8815862263636,4.96160144809091,13.2830006421818,45.5960610481818,54.1479341472727,3.88568342609091,51.1062767181818,47.9164253954545,35.7,66895
