"community","year","no2"
"AUBURN GRESHAM",2022,11.755578994751
"AUSTIN",2011,21.9336585998535
"AUSTIN",2012,20.7403087615967
"AUSTIN",2013,18.7938022613525
"AUSTIN",2014,17.7240905761719
"AUSTIN",2015,16.5263156890869
"AUSTIN",2016,16.5799007415771
"AUSTIN",2017,16.3700866699219
"AUSTIN",2018,16.5466289520264
"AUSTIN",2019,13.3334140777588
"AUSTIN",2020,15.973069190979
"AUSTIN",2021,13.0442018508911
"AUSTIN",2022,12.9883947372437
"AVALON PARK",2011,20.0680255889893
"AVALON PARK",2012,19.7465572357178
"AVALON PARK",2013,18.6973876953125
"AVALON PARK",2014,17.4767017364502
"AVALON PARK",2015,16.6612777709961
"AVALON PARK",2016,15.9807062149048
"AVALON PARK",2017,15.9494190216064
"AVALON PARK",2018,15.0673866271973
"AVALON PARK",2019,13.3134078979492
"AVALON PARK",2020,15.8251152038574
"AVALON PARK",2021,13.4963903427124
"AVALON PARK",2022,12.6995496749878
"AVONDALE",2011,24.7278308868408
"AVONDALE",2012,22.8183002471924
"AVONDALE",2013,20.256462097168
"AVONDALE",2014,19.3024120330811
"AVONDALE",2015,17.9254398345947
"AVONDALE",2016,17.7944660186768
"AVONDALE",2017,17.4386425018311
"AVONDALE",2018,17.9656753540039
"AVONDALE",2019,13.7846031188965
"AVONDALE",2020,16.8494434356689
"AVONDALE",2021,13.7278470993042
"AVONDALE",2022,13.7720794677734
"BELMONT CRAGIN",2011,22.2433090209961
"BELMONT CRAGIN",2012,21.0655784606934
"BELMONT CRAGIN",2013,19.1127300262451
"BELMONT CRAGIN",2014,18.0134201049805
"BELMONT CRAGIN",2015,16.8002681732178
"BELMONT CRAGIN",2016,16.8656234741211
"BELMONT CRAGIN",2017,16.6597118377686
"BELMONT CRAGIN",2018,16.8198699951172
"BELMONT CRAGIN",2019,12.8497095108032
"BELMONT CRAGIN",2020,16.2652359008789
"BELMONT CRAGIN",2021,12.3302555084229
"BELMONT CRAGIN",2022,12.5401268005371
"BEVERLY",2011,18.9047603607178
"BEVERLY",2012,19.0382652282715
"BEVERLY",2013,17.9834327697754
"BEVERLY",2014,16.9019718170166
"BEVERLY",2015,15.8389520645142
"BEVERLY",2016,15.4378204345703
"BEVERLY",2017,15.1718730926514
"BEVERLY",2018,14.2704696655273
"BEVERLY",2019,10.8080730438232
"BEVERLY",2020,14.5479211807251
"BEVERLY",2021,11.1553506851196
"BEVERLY",2022,10.6393098831177
"BRIDGEPORT",2011,23.8867893218994
"BRIDGEPORT",2012,22.1322116851807
"BRIDGEPORT",2013,20.3752307891846
"BRIDGEPORT",2014,19.2440776824951
"BRIDGEPORT",2015,18.2919845581055
"BRIDGEPORT",2016,17.5135860443115
"BRIDGEPORT",2017,17.4596748352051
"BRIDGEPORT",2018,17.1635665893555
"BRIDGEPORT",2019,13.7712078094482
"BRIDGEPORT",2020,16.9975128173828
"BRIDGEPORT",2021,13.8172941207886
"BRIDGEPORT",2022,13.1867599487305
"BRIGHTON PARK",2011,22.1042175292969
"BRIGHTON PARK",2012,21.000129699707
"BRIGHTON PARK",2013,19.5743961334229
"BRIGHTON PARK",2014,18.4614791870117
"BRIGHTON PARK",2015,17.3163394927979
"BRIGHTON PARK",2016,16.5622806549072
"BRIGHTON PARK",2017,16.408597946167
"BRIGHTON PARK",2018,16.1381301879883
"BRIGHTON PARK",2019,13.2435646057129
"BRIGHTON PARK",2020,16.5998840332031
"BRIGHTON PARK",2021,13.4291973114014
"BRIGHTON PARK",2022,12.9217853546143
"BURNSIDE",2011,19.1862201690674
"BURNSIDE",2012,19.1758460998535
"BURNSIDE",2013,18.2836494445801
"BURNSIDE",2014,17.0532875061035
"BURNSIDE",2015,16.2403926849365
"BURNSIDE",2016,15.5803899765015
"BURNSIDE",2017,15.5415420532227
"BURNSIDE",2018,14.5680370330811
"BURNSIDE",2019,12.1327352523804
"BURNSIDE",2020,15.5476818084717
"BURNSIDE",2021,12.4840478897095
"BURNSIDE",2022,11.6341457366943
"CALUMET HEIGHTS",2011,19.5688953399658
"CALUMET HEIGHTS",2012,19.5277729034424
"CALUMET HEIGHTS",2013,18.6033897399902
"CALUMET HEIGHTS",2014,17.3558044433594
"CALUMET HEIGHTS",2015,16.5225143432617
"CALUMET HEIGHTS",2016,15.8559923171997
"CALUMET HEIGHTS",2017,15.8241004943848
"CALUMET HEIGHTS",2018,14.8394565582275
"CALUMET HEIGHTS",2019,12.2291078567505
"CALUMET HEIGHTS",2020,15.8077058792114
"CALUMET HEIGHTS",2021,12.4896106719971
"CALUMET HEIGHTS",2022,11.6670818328857
"CHATHAM",2011,21.1728591918945
"CHATHAM",2012,21.02414894104
"CHATHAM",2013,19.9883251190186
"CHATHAM",2014,18.6598281860352
"CHATHAM",2015,17.7781543731689
"CHATHAM",2016,17.0541286468506
"CHATHAM",2017,17.0153865814209
"CHATHAM",2018,16.0012741088867
"CHATHAM",2019,12.4093065261841
"CHATHAM",2020,16.9643955230713
"CHATHAM",2021,12.4793462753296
"CHATHAM",2022,11.8332376480103
"CHICAGO LAWN",2011,20.1568412780762
"CHICAGO LAWN",2012,19.1500225067139
"CHICAGO LAWN",2013,17.8498973846436
"CHICAGO LAWN",2014,16.8350276947021
"CHICAGO LAWN",2015,15.790774345398
"CHICAGO LAWN",2016,15.1031475067139
"CHICAGO LAWN",2017,14.9630041122437
"CHICAGO LAWN",2018,14.716365814209
"CHICAGO LAWN",2019,11.9035530090332
"CHICAGO LAWN",2020,15.1374387741089
"CHICAGO LAWN",2021,12.1928195953369
"CHICAGO LAWN",2022,11.5297842025757
"CLEARING",2011,19.6911869049072
"CLEARING",2012,18.8204021453857
"CLEARING",2013,17.2628040313721
"CLEARING",2014,16.0455646514893
"CLEARING",2015,15.2430648803711
"CLEARING",2016,15.1432085037231
"CLEARING",2017,15.0773086547852
"CLEARING",2018,14.64391040802
"CLEARING",2019,12.6248455047607
"CLEARING",2020,14.5133409500122
"CLEARING",2021,12.613790512085
"CLEARING",2022,12.2514009475708
"DOUGLAS",2011,22.8553409576416
"DOUGLAS",2012,20.8496704101562
"DOUGLAS",2013,19.0426483154297
"DOUGLAS",2014,18.0019721984863
"DOUGLAS",2015,17.2571411132812
"DOUGLAS",2016,16.5335826873779
"DOUGLAS",2017,16.5473003387451
"DOUGLAS",2018,16.2617473602295
"DOUGLAS",2019,14.3529710769653
"DOUGLAS",2020,15.7156972885132
"DOUGLAS",2021,14.3129863739014
"DOUGLAS",2022,13.7075710296631
"DUNNING",2011,21.671558380127
"DUNNING",2012,20.6740760803223
"DUNNING",2013,19.0410804748535
"DUNNING",2014,18.0760650634766
"DUNNING",2015,16.9221210479736
"DUNNING",2016,16.8380794525146
"DUNNING",2017,16.5258312225342
"DUNNING",2018,16.8395919799805
"DUNNING",2019,12.1405019760132
"DUNNING",2020,16.116491317749
"DUNNING",2021,11.5631790161133
"DUNNING",2022,11.7062749862671
"EAST GARFIELD PARK",2011,23.0927696228027
"EAST GARFIELD PARK",2012,21.3095016479492
"EAST GARFIELD PARK",2013,18.9170608520508
"EAST GARFIELD PARK",2014,18.0260925292969
"EAST GARFIELD PARK",2015,16.7401695251465
"EAST GARFIELD PARK",2016,16.6178550720215
"EAST GARFIELD PARK",2017,16.2855606079102
