"community","year","pm25"
"ALBANY PARK",2011,10.4155588150024
"ALBANY PARK",2012,10.7126722335815
"ALBANY PARK",2013,9.76314449310303
"ALBANY PARK",2014,9.713698387146
"ALBANY PARK",2015,9.35947799682617
"ALBANY PARK",2016,8.2775354385376
"ALBANY PARK",2017,8.24711036682129
"ALBANY PARK",2018,8.91392517089844
"ALBANY PARK",2019,8.37075328826904
"ALBANY PARK",2020,7.54772281646729
"ALBANY PARK",2021,8.77053451538086
"ALBANY PARK",2022,8.29226970672607
"ARCHER HEIGHTS",2011,11.3113746643066
"ARCHER HEIGHTS",2012,11.5958805084229
"ARCHER HEIGHTS",2013,10.3237972259521
"ARCHER HEIGHTS",2014,10.3797636032104
"ARCHER HEIGHTS",2015,9.58642196655273
"ARCHER HEIGHTS",2016,8.81891059875488
"ARCHER HEIGHTS",2017,8.60973262786865
"ARCHER HEIGHTS",2018,9.38970470428467
"ARCHER HEIGHTS",2019,8.95833683013916
"ARCHER HEIGHTS",2020,8.17236328125
"ARCHER HEIGHTS",2021,9.4486083984375
"ARCHER HEIGHTS",2022,9.33304500579834
"ARMOUR SQUARE",2011,10.5188093185425
"ARMOUR SQUARE",2012,11.0974502563477
"ARMOUR SQUARE",2013,9.86001300811768
"ARMOUR SQUARE",2014,10.1442708969116
"ARMOUR SQUARE",2015,9.39463043212891
"ARMOUR SQUARE",2016,8.32380199432373
"ARMOUR SQUARE",2017,8.42698955535889
"ARMOUR SQUARE",2018,9.32102012634277
"ARMOUR SQUARE",2019,8.52597713470459
"ARMOUR SQUARE",2020,7.94241952896118
"ARMOUR SQUARE",2021,9.35013008117676
"ARMOUR SQUARE",2022,9.2662992477417
"ASHBURN",2011,10.9058046340942
"ASHBURN",2012,10.9719324111938
"ASHBURN",2013,9.7211799621582
"ASHBURN",2014,10.2722005844116
"ASHBURN",2015,9.36355686187744
"ASHBURN",2016,8.6934871673584
"ASHBURN",2017,8.47293281555176
"ASHBURN",2018,9.17566013336182
"ASHBURN",2019,8.6749849319458
"ASHBURN",2020,8.1652135848999
"ASHBURN",2021,9.20321846008301
"ASHBURN",2022,9.32439613342285
"AUBURN GRESHAM",2011,10.4661884307861
"AUBURN GRESHAM",2012,10.5347080230713
"AUBURN GRESHAM",2013,9.29949569702148
"AUBURN GRESHAM",2014,9.81459140777588
"AUBURN GRESHAM",2015,8.96527481079102
"AUBURN GRESHAM",2016,8.31780433654785
"AUBURN GRESHAM",2017,8.06641864776611
"AUBURN GRESHAM",2018,8.80890274047852
"AUBURN GRESHAM",2019,8.29875946044922
"AUBURN GRESHAM",2020,7.78711414337158
"AUBURN GRESHAM",2021,8.82558536529541
"AUBURN GRESHAM",2022,8.83553695678711
"AUSTIN",2011,10.4764022827148
"AUSTIN",2012,10.8141565322876
"AUSTIN",2013,9.8229284286499
"AUSTIN",2014,9.91318416595459
"AUSTIN",2015,9.3691577911377
"AUSTIN",2016,8.36199569702148
"AUSTIN",2017,8.32562255859375
"AUSTIN",2018,8.99781608581543
"AUSTIN",2019,8.4343843460083
"AUSTIN",2020,7.65180063247681
"AUSTIN",2021,8.94519233703613
"AUSTIN",2022,8.49243927001953
"AVALON PARK",2011,10.0747861862183
"AVALON PARK",2012,10.3313179016113
"AVALON PARK",2013,9.23971939086914
"AVALON PARK",2014,9.92411041259766
"AVALON PARK",2015,9.27910327911377
"AVALON PARK",2016,8.18579387664795
"AVALON PARK",2017,7.98895215988159
"AVALON PARK",2018,8.58603382110596
"AVALON PARK",2019,7.99833679199219
"AVALON PARK",2020,7.64842128753662
"AVALON PARK",2021,9.15280628204346
"AVALON PARK",2022,8.93389129638672
"AVONDALE",2011,10.3036203384399
"AVONDALE",2012,10.6760034561157
"AVONDALE",2013,9.43373107910156
"AVONDALE",2014,9.53730010986328
"AVONDALE",2015,9.13009071350098
"AVONDALE",2016,8.01810646057129
"AVONDALE",2017,8.3647289276123
"AVONDALE",2018,9.04946899414062
"AVONDALE",2019,8.41927242279053
"AVONDALE",2020,7.73988485336304
"AVONDALE",2021,9.08665466308594
"AVONDALE",2022,8.51721954345703
"BELMONT CRAGIN",2011,10.4057779312134
"BELMONT CRAGIN",2012,10.6106882095337
"BELMONT CRAGIN",2013,9.66050624847412
"BELMONT CRAGIN",2014,9.79026031494141
"BELMONT CRAGIN",2015,9.29239368438721
"BELMONT CRAGIN",2016,8.30018138885498
"BELMONT CRAGIN",2017,8.27960014343262
"BELMONT CRAGIN",2018,9.02909755706787
"BELMONT CRAGIN",2019,8.4289436340332
"BELMONT CRAGIN",2020,7.68799686431885
