GEOID,year,no2_mean
13031,2019,2.0345280170440674
13121,2019,6.160109043121338
13179,2019,2.112759828567505
13189,2019,2.2879786491394043
13213,2019,2.32422137260437
13209,2019,1.7936500310897827
13139,2019,3.0390281677246094
13245,2019,3.528325319290161
13049,2019,1.559253454208374
13141,2019,2.187765121459961
13157,2019,2.9676332473754883
13315,2019,1.674602746963501
13241,2019,1.659101128578186
13269,2019,2.0551609992980957
13177,2019,1.781498670578003
13279,2019,1.9197747707366943
13007,2019,1.5871293544769287
34015,2019,6.323609352111816
34023,2019,8.804360389709473
34035,2019,6.421100616455078
34031,2019,6.071691036224365
34021,2019,7.057342529296875
34009,2019,3.950124740600586
35031,2019,1.6640567779541016
35013,2019,1.6869723796844482
28059,2019,2.215898275375366
35033,2019,1.5417723655700684
53067,2019,3.8884434700012207
51147,2019,2.1700077056884766
01009,2019,2.136995315551758
01095,2019,2.216521739959717
51029,2019,1.969317078590393
51139,2019,2.271681308746338
53017,2019,1.2365399599075317
51153,2019,4.638948440551758
51171,2019,2.585710048675537
01043,2019,2.1170833110809326
51061,2019,2.983241558074951
53021,2019,1.7615946531295776
53019,2019,1.2719309329986572
53029,2019,3.75581431388855
53075,2019,1.2103193998336792
33017,2019,2.1945056915283203
31093,2019,1.3869702816009521
31115,2019,1.194925308227539
51001,2019,2.4750871658325195
21101,2019,3.193333148956299
21093,2019,2.701148509979248
51119,2019,2.7302303314208984
22075,2019,1.6683086156845093
22107,2019,1.4403843879699707
51193,2019,2.968101978302002
22119,2019,1.771260142326355
23027,2019,1.2024565935134888
51091,2019,1.564674735069275
21013,2019,1.8909492492675781
21131,2019,1.7166203260421753
51083,2019,2.369074821472168
23023,2019,1.6841833591461182
21235,2019,1.9052150249481201
24041,2019,3.582911968231201
24033,2019,6.4002556800842285
24035,2019,3.818483352661133
24023,2019,2.5655429363250732
51165,2019,2.23323392868042
37083,2019,2.4017794132232666
37179,2019,3.37941837310791
37129,2019,3.389822006225586
37163,2019,2.3927903175354004
37031,2019,1.8583074808120728
37183,2019,4.56248140335083
37119,2019,6.489984512329102
37087,2019,2.0441770553588867
37141,2019,2.033374547958374
37021,2019,2.5069844722747803
37047,2019,1.9544103145599365
37039,2019,1.7587335109710693
37171,2019,2.384768486022949
37093,2019,2.7159488201141357
37105,2019,3.101001262664795
37173,2019,1.5826274156570435
37015,2019,2.174161672592163
37175,2019,1.7946969270706177
18083,2019,2.9789507389068604
18183,2019,2.9668548107147217
18089,2019,6.237072944641113
18051,2019,3.2530949115753174
18071,2019,2.684237003326416
18061,2019,2.8921449184417725
21071,2019,2.060847520828247
20123,2019,1.3899109363555908
21043,2019,2.4089832305908203
21085,2019,2.176023006439209
21011,2019,2.2928385734558105
21099,2019,2.1088571548461914
20149,2019,1.859509825706482
21189,2019,1.7712435722351074
21003,2019,2.06474232673645
21109,2019,1.8531898260116577
21205,2019,2.2742111682891846
21147,2019,1.7334671020507812
21031,2019,2.213002920150757
20203,2019,1.4210799932479858
17031,2019,10.2174072265625
17027,2019,2.5783653259277344
17079,2019,2.3405139446258545
17171,2019,1.8774361610412598
17185,2019,2.8604001998901367
17047,2019,2.4322988986968994
39043,2019,3.9566428661346436
06001,2019,5.929686069488525
06081,2019,5.068644046783447
06065,2019,2.652665138244629
06095,2019,3.0868966579437256
06103,2019,1.347594141960144
06111,2019,3.151019334793091
06083,2019,1.7629873752593994
36081,2019,13.858345985412598
06093,2019,1.3501778841018677
06115,2019,2.2856357097625732
06033,2019,1.346522331237793
06061,2019,2.3506546020507812
06005,2019,2.0980958938598633
06043,2019,1.6798789501190186
08029,2019,1.6132866144180298
12119,2019,2.5254764556884766
12069,2019,2.690434217453003
08069,2019,2.7189154624938965
09009,2019,5.216302394866943
09007,2019,3.8915910720825195
12079,2019,1.5170118808746338
12127,2019,2.4243555068969727
12099,2019,2.7356083393096924
12113,2019,1.8023700714111328
12125,2019,1.8115808963775635
12093,2019,1.8247928619384766
08083,2019,1.8582179546356201
42033,2019,2.817700147628784
42125,2019,4.36459493637085
42031,2019,3.125441312789917
42097,2019,3.3399434089660645
42061,2019,2.976679563522339
55099,2019,1.1602362394332886
55121,2019,1.8551491498947144
55075,2019,1.415717363357544
55001,2019,1.7078819274902344
30051,2019,1.146342158317566
30005,2019,1.113314151763916
30077,2019,1.456346869468689
30057,2019,1.5344592332839966
30003,2019,1.3353668451309204
30073,2019,1.337462067604065
30045,2019,1.3733943700790405
30009,2019,1.4563766717910767
30085,2019,1.0994564294815063
30069,2019,1.1260056495666504
49035,2019,7.564366340637207
49011,2019,5.577425003051758
01097,2019,2.3282010555267334
49025,2019,1.5589444637298584
01033,2019,1.915631651878357
01041,2019,1.5153570175170898
01065,2019,1.7804855108261108
01109,2019,1.6321874856948853
36011,2019,2.201662063598633
36025,2019,1.673593521118164
36115,2019,1.8608078956604004
48029,2019,4.2712249755859375
48423,2019,2.319594144821167
48201,2019,7.299265384674072
48471,2019,2.2765114307403564
48257,2019,3.024723529815674
48223,2019,1.9220186471939087
48321,2019,1.843159556388855
48473,2019,2.9724626541137695
48215,2019,2.0549685955047607
48323,2019,1.7927086353302002
48187,2019,2.4927589893341064
48343,2019,2.1432037353515625
48389,2019,2.396761417388916
48071,2019,2.6031246185302734
48351,2019,1.7415575981140137
48057,2019,1.6218901872634888
48455,2019,1.749442219734192
40017,2019,2.3713459968566895
40135,2019,1.7545281648635864
40117,2019,1.7153739929199219
40101,2019,2.0237929821014404
40127,2019,1.5571726560592651
40075,2019,1.6527117490768433
41023,2019,1.3329315185546875
41061,2019,1.431276798248291
41007,2019,1.6309996843338013
41003,2019,1.9528275728225708
41015,2019,1.0739305019378662
01131,2019,1.5123833417892456
01079,2019,1.8456557989120483
01035,2019,1.5040404796600342
05067,2019,1.8757389783859253
05001,2019,1.5505187511444092
05011,2019,1.4205255508422852
05025,2019,1.5243147611618042
05099,2019,1.4794812202453613
48273,2019,1.4192159175872803
48179,2019,1.5578696727752686
48195,2019,1.6776586771011353
48379,2019,2.0504815578460693
48277,2019,1.8626129627227783
45063,2019,3.0810959339141846
45051,2019,2.3550021648406982
45013,2019,2.2977311611175537
45045,2019,3.41892671585083
45069,2019,2.4913523197174072
45021,2019,3.074920415878296
45007,2019,2.8276731967926025
45087,2019,2.4098589420318604
45027,2019,2.3687093257904053
45061,2019,2.3091256618499756
45039,2019,2.2120440006256104
45017,2019,2.4469311237335205
45043,2019,2.0998804569244385
21181,2019,2.5204179286956787
22103,2019,2.064485549926758
47037,2019,4.631449222564697
47045,2019,2.2032508850097656
47129,2019,1.7747358083724976
46023,2019,1.132914423942566
47163,2019,3.4892818927764893
47055,2019,1.7586249113082886
47107,2019,2.491626739501953
47031,2019,2.0645394325256348
46055,2019,1.0369126796722412
